id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
160,Which road sign prohibits turning left (if you are not driving scheduled public transport)?,No 1.,No 2.,No 3.,No 4.,2,1,"Road Traffic Rules, Annex 1, sign 527. Road sign ""Turning place"". A place for turning round away from a junction.
Road Traffic Rules, Annex 1, sign 404. Road sign ""Ahead or right only"". Movement is allowed only in the directions of the arrows. The sign applies at the carriageway intersection before which it is placed. Its requirements do not apply to scheduled public transport.
Road Traffic Rules, Annex 1, sign 324. Road sign ""No U-turns"". It does not apply to scheduled public transport and does not prohibit turning left.
Road Traffic Rules, Annex 1, sign 146. Road sign ""Direction of bend to the right"". The direction of travel on a bend of small radius with limited visibility, at a narrowing of the road, or at a place where the road is being repaired or built.",160.jpg
161,What does this road sign indicate?,"An additional lane, or the start of a deceleration lane.",The directions of traffic at a junction.,A road with two lanes.,,1,1,"Road Traffic Rules, Annex 1, sign 513. Road sign ""Lane begins on the right"". An additional lane, or the start of a deceleration lane. Vehicles leaving the road must move into the deceleration lane; vehicles going uphill that cannot travel faster than those behind them must move into the additional lane.",161.jpg
162,In a built-up area a driver will not breach the requirement of this sign by driving:,At 50 km/h as far as the nearest junction.,At 50 km/h beyond the nearest junction.,At no more than 40 km/h both as far as the nearest junction and beyond it.,,3,1,"This is because the sign applies not just as far as the first junction, but throughout the area beyond it until there are road signs cancelling the restriction.",162.jpg
163,What is the name of the road sign shown?,Junction with a major road.,Give way.,Junction with a minor road.,,2,1,"Road Traffic Rules, Annex 1, sign 203. Give way (the driver must give way to vehicles travelling on the crossing or joining road and, where the supplementary plate No 843 ""Direction of the major road"" is used, to vehicles travelling on the major road).",163.jpg
164,"Which car will cross the junction first (the traffic light next to the green car has an additional plate with a green arrow to the right that is not lit, and the red light is showing)?",The green car.,The blue car.,,,2,2,"Explanation:
The driver of the blue car has priority, because they are moving on a permitting signal from the additional traffic light section. The driver of the green car must give way to the blue car, because they are moving under the additional plate with the green arrow and have no priority.",164.jpg
165,"The vehicle ahead of you is signalling a right turn as it approaches a junction with a minor road, but it does not turn. What will you do?",Start to overtake.,Pass it on the left.,Pass it on the right.,Slow down and carry on behind the car.,4,1,"Road Traffic Rules, clause 4. The behaviour of road users is based on mutual respect and caution.
Road Traffic Rules, clause 9. Road users must take all necessary precautions, must not endanger the safety of other road users, of other people or of their property or the environment, must not obstruct their movement, and, in order to avoid or reduce harmful consequences, must take all necessary measures, except where this would endanger their own life or health or that of others, or where such measures would cause even more harm than could be avoided.",165.jpg
166,"While driving, two of your wheels have gone onto the shoulder. What should you do?","Without braking, turn the steering wheel sharply and return to the carriageway.","Reduce speed gently and turn the steering wheel slowly, bringing the car back onto the carriageway.",Stop and then move off again.,,2,1,"In such a case the car should be brought back onto the carriageway calmly, without braking and by turning the steering wheel slowly. Turning the wheel sharply can be dangerous, because the increased sideways force may make the car start to skid or even roll over. You should also avoid braking sharply, because the wheels on the gravel grip the road less well than the wheels on the asphalt. Because of this difference in grip the car may become unstable and leave its path.",166.jpg
167,What will you do if the road signs contradict the road marking lines?,I will follow the road signs.,I will follow the road marking lines.,,,2,2,"Road Traffic Rules, clause 8. Traffic on roads in the Republic of Lithuania may be restricted only by the road signs listed in Annex 1 to the Rules, by variable message road signs, examples of which are given in Annex 2 to the Rules, by the road markings given in Annex 3 to the Rules, and by traffic lights and traffic controllers' signals as set out in the Rules and in other legislation in force in the Republic of Lithuania relating to traffic control. If the requirements of a road sign and of the road markings differ, the road sign must be followed. Where variable message road signs are installed on the road, those signs are followed. A traffic controller's instructions take precedence over traffic light signals, road signs and road markings, and over the requirements of the Rules. Road users must follow the road signs intended for them.",167.jpg
168,You are driving at the maximum permitted speed. A vehicle is approaching quickly from behind and its driver is flashing the headlights. What will you do?,Keep the same speed and not let them overtake.,Tap the brake pedal so that the brake lights come on.,Increase speed so that the gap between the cars grows.,Not obstruct the approaching vehicle from overtaking.,4,2,It does not matter that the other car will exceed the speed limit while overtaking and will therefore break the rules. You must not create a hazard and must let the overtaking car pass.,168.jpg
169,"What will you do in this situation? The car ahead is at a safe distance, is turning into the deceleration lane and is already on that lane's line. You are travelling at 70 km/h. The permitted speed is 70 km/h.",Brake.,Increase speed.,Ease off the accelerator.,Keep the same speed.,4,2,"If the car ahead is at a safe distance and is already on the line of the deceleration lane, you should do the following:
Keep watching the situation: check that the car ahead really is entering the deceleration lane and is carrying on with its manoeuvre safely.
Keep your speed: since you are travelling at the permitted 70 km/h and the car ahead is already leaving the main traffic lane, there is no need to change your speed.",169.jpg
170,What will you do if pedestrians crossing the road are paying no attention to what is going on around them?,Brake.,Ease off the accelerator.,Drive on without changing speed.,,1,1,"Explanation of the terms:
Braking is when you press the brake, the car slows quickly and stops before the expected obstruction.
Easing off the accelerator is when you take your foot off the throttle, the car slows down gradually by itself but does not stop before the expected obstruction and keeps moving.
Driving on without changing speed is when you press the throttle just as much as before and the car rolls on at the same speed.",170.jpg
171,You are driving a car with a trailer. What must you allow for when going downhill?,The trailer will help to stop the car more quickly.,The braking distance will get shorter.,The braking distance will get longer.,The braking distance will not change.,3,1,"The braking distance gets longer, because the weight of the trailer pushes the car forwards as you go downhill. Going uphill, the braking distance gets shorter, because the weight of the trailer pulls the car back.",171.jpg
172,What will you do if there are elderly people or other vulnerable road users beside the road?,"Judge the danger and react — brake, or move smoothly to another part of the road.",Flash the headlights.,Drive on without changing speed.,,1,1,"Road Traffic Rules, clause 9. Road users must take all necessary precautions, must not endanger the safety of other road users, of other people or of their property or the environment, must not obstruct their movement, and, in order to avoid or reduce harmful consequences, must take all necessary measures, except where this would endanger their own life or health or that of others, or where such measures would cause even more harm than could be avoided.
Road Traffic Rules, clause 128. If an obstruction appears or road safety is threatened, the driver (if they are able to notice it) must reduce speed, even bring the vehicle to a complete stop, or pass the obstruction without endangering other road users.",172.jpg
173,"Leaving a diesel car standing in gear on a downhill slope is dangerous, because:",The gear change mechanism may be damaged.,The engine of an older model of car may start by itself.,It is not dangerous.,,2,3,Older diesel engines can start by themselves when the car rolls downhill in gear.,173.jpg
174,What must you do to park a car with an automatic gearbox on a slope?,Apply the parking brake and only then move the selector into position P.,Move the selector into position P and then apply the parking brake.,The parking brake does not have to be applied.,,1,3,"When the parking place is on a slope, you must apply the parking brake and only then select the parking position (P) of the automatic gearbox, so that the car does not roll.",174.jpg
175,Is it allowed to drive on winter tyres during the summer season?,"It is allowed, but they must not be studded.",It is prohibited.,,,1,2,"Because the Road Traffic Rules prohibit the use of vehicles with studded tyres only between 10 April and 31 October, cars with non-studded winter tyres may be used.",175.jpg
176,You have stopped on an uphill slope because of a traffic jam. What is the best way to hold the car in place?,By leaving it in gear with the engine switched off.,With the parking brake.,By engaging a low gear and slipping the clutch.,With the service brake.,2,2,"When you stop on an uphill slope because of a traffic jam, the car must be held reliably in place so that it does not roll back. Under clause 3.7.6 of the description of the criteria for assessing motor vehicle handling skills and abilities, the parking brake is used when:
the vehicle has been stopped and the driver does not intend to move off straight away (for example, waiting in a jam);
it is necessary to make sure that it does not move while standing on a slope.
Holding the service brake down for a long time is awkward and can be dangerous (for example, a foot slipping could let the car roll away). The safest and most correct thing is therefore to apply the parking brake.",176.jpg
177,Is it allowed to drive in the dark with only the side lights switched on?,"Yes, if I am driving in a built-up area.","Yes, if the road is visible for at least 50 m.",It is prohibited.,,3,1,"Road Traffic Rules, clause 94. In the dark or in poor visibility, drivers of motor vehicles, tractors and self-propelled machines must drive on roads with the dipped beam or the main beam headlights switched on.",177.jpg
178,What can make the windows inside the car mist up?,Moisture left after washing the car.,Too high a level of coolant.,Too many people in the car.,An incorrectly chosen heating and ventilation setting.,4,2,"The windows inside a car usually start to mist up when damp air builds up inside and condenses on the colder surface of the glass. This most often happens because of an incorrectly chosen heating and ventilation setting, when the air inside is not ventilated enough or the screen demister is not switched on. With the heating and ventilation set properly (for example, with the airflow directed at the windows and the fan or the air conditioning switched on) the moisture is removed and the windows do not mist up.
The other answers are wrong, because:
Moisture left after washing the car can raise the humidity inside, but on its own it does not make the windows mist up if the ventilation is working properly. If the windows do mist up (for example after washing), it means the heating and ventilation setting is wrong.
Too high a level of coolant has no effect on the windows misting up inside.
A large number of people in the car can raise the humidity, but the windows start to mist up only when the ventilation is working badly or is set wrongly.",178.jpg
179,It is prohibited to drive a vehicle:,If its roadworthiness test has expired.,If the number plate is bent (but still readable).,If the car's door is dented.,If the horn does not work.,1,1,"If you notice that the horn does not work, you are allowed to drive only as far as a parking or repair place. However, it is prohibited to operate (that is, to use regularly) a car that does not meet the technical requirements, for example one whose horn does not work.
Driving is prohibited in the cases set out in clause 234 of the Road Traffic Rules.",179.jpg
180,Is it allowed in Lithuania to use lamp glasses and bulbs that are not provided for?,It is allowed if they do not exceed the permitted power.,It is prohibited.,It is allowed if they are properly adjusted.,It is allowed if they are suited to the country where the vehicle is used.,2,1,"Technical requirements for motor vehicles and their trailers. It is prohibited to use lighting and light signalling devices that are not provided for, or whose use is prohibited.",180.jpg
181,Is it allowed to use fog lamps instead of dipped beam headlights?,It is allowed.,It is prohibited.,It is allowed if the front left dipped beam headlight is not working.,,3,1,"Clause 98. Fog lamps may be used only in poor visibility, and front fog lamps may also be used if the front left dipped beam headlight has failed.",181.jpg
182,The order for crossing the junction is:,"Tractor, motorcycle, car.","The car and the motorcycle at the same time, then the tractor.","Car, tractor, motorcycle.","The tractor and the car at the same time, then the motorcycle.",4,3,"In this situation the tractor and the car may go first at the same time in the directions shown, because the car is the only one with no obstacle on its right and the paths of the tractor and the car do not cross. The motorcyclist can only go second, after letting the tractor approaching from the right pass.",182.jpg
183,Where are U-turns prohibited?,Within 15 m of a junction.,At pedestrian crossings.,On roads with more than four traffic lanes.,On rural roads.,2,2,"Road Traffic Rules, clause 116. U-turns are prohibited:
116.1. at pedestrian crossings;
116.2. at level crossings;
116.3. in tunnels;
116.4. on and under bridges, flyovers and viaducts;
116.5. at places where the road is visible for less than 100 metres in at least one direction;
116.6. on roads with a central reservation, except at turning places built for that purpose and marked with road signs, or with road signs together with road markings.",183.jpg
184,In what order will the vehicles cross this junction?,"White, black, red, blue.","White, blue, red, black.","White, red, black, blue.","Black, blue, white, red.",3,3,"The white car is on the major road and is going straight ahead, so it goes first. Once the white car has passed, the red car no longer has an obstacle in its way and goes second. The black car goes third. The blue car crosses the junction last, because it must give way to the black car, which is travelling on a road of equal priority from the opposite direction and turning right.",184.jpg
185,Is such a manoeuvre allowed?,Yes.,No.,,,1,2,"Road Traffic Rules, clause 182. If a lane for scheduled public transport travelling in the same direction is at the right-hand edge of the carriageway and is not separated by a solid road marking line, drivers turning right must move into this lane before the turn, and drivers passing a vehicle that has stopped to turn left may move into it.",185.jpg
186,"How must you park your vehicle next to vehicles marked with the ""Disabled person"" distinguishing sign?",So that it does not stop a disabled person from getting in and out.,As close as possible.,,,1,1,"Road Traffic Rules, clause 152. Next to vehicles marked with the ""Disabled person"" distinguishing sign, a driver must park their own vehicle so that it does not prevent a disabled person from getting in (or out).",186.jpg
187,"Is it allowed to take agricultural, road, construction and other machinery that has not been specially prepared for transport across a level crossing?",No.,"No, if this could damage the equipment of the crossing.","Yes, if permission has been obtained from the owner of the railway.",,2,1,"Clause 173. A road user is prohibited from:
173.1. crossing the railway at places not intended for it;
173.2. passing other vehicles that have stopped before a level crossing to let a rail vehicle pass;
173.3. driving or walking onto a level crossing when the barrier is down or is starting to come down, raising the barrier without authorisation, or driving (or walking) around it;
173.4. driving onto a level crossing if there is an obstruction beyond it that would force the driver to stop on the crossing;
173.5. taking agricultural, road, construction and other machinery that has not been specially prepared for transport across a level crossing, if this could damage the equipment of the level crossing;
173.6. crossing a level crossing in a wheelchair without an accompanying person;
173.7. lingering or standing about on a level crossing, or taking longer than is needed to walk or drive across it.",187.jpg
188,Is the driver of the green car allowed to manoeuvre like this?,Yes.,No.,"Yes, if they are sure the manoeuvre is safe.",,2,2,"Road Traffic Rules, clause 110. If traffic is very heavy and all the lanes are occupied, changing lanes is allowed only when it is necessary in order to turn, make a U-turn or stop.",188.jpg
189,In what order will the cars cross the junction?,"Green, yellow, red, blue.","Red, green, yellow, blue.","The red, the yellow and the green together, then the blue.",,3,3,"At this junction of equal-priority roads the green, red and yellow cars are all turning right and their paths do not cross anything, so they can all go at the same time. The blue car is turning left, so it must give way to the yellow car coming from the opposite direction and turning right. The blue car crosses the junction last.",189.jpg
190,Which driver has priority?,The driver of the blue car.,The driver of the red car.,,,1,2,"The red car is going downhill (this is shown by the sign ""Steep descent"" rather than ""Steep ascent""), so it must give way to the blue car coming uphill.",190.jpg
191,Is the driver of the green car allowed to go straight ahead in this situation (continuing round the roundabout)?,It is allowed.,It is prohibited.,,,2,2,"Road Traffic Rules, Annex 1, sign 507. It indicates the number of lanes and the directions in which each lane may be used. Where a left turn is allowed, a U-turn is also allowed from the far left lane.",191.jpg
192,"When the paths of vehicles cross within a yard, who must give way?",The driver who has a vehicle approaching from the left.,The driver who has a vehicle approaching from the right.,,,2,1,"Road Traffic Rules, clause 115. Where the paths of vehicles cross and the order of movement is not covered by the Rules, the driver who has a vehicle approaching from the right must give way.",192.jpg
193,What must you do first before starting to overtake?,Make sure that the road ahead is clear.,Change down to a lower gear.,Increase speed.,Reduce speed.,1,1,"Road Traffic Rules, clause 136. Drivers are advised to avoid unnecessary overtaking manoeuvres. Before starting to overtake, a driver must take additional precautions and make sure that:
136.1. none of the drivers following behind has started to overtake them;
136.2. the driver of the vehicle to be overtaken is not signalling a left turn;
136.3. the part of the lane needed for overtaking is clear and that oncoming vehicles, or pedestrians moving on the carriageway, will not be obstructed;
136.4. a safe distance from the overtaken vehicle will be kept during the overtake;
136.5. on finishing the overtake they will be able to return to their own lane without obstructing the overtaken vehicle.",193.jpg
194,"What will you do if the rear axle of your car starts to slide sideways in a bend, when the car is rear-wheel drive?",Brake sharply and steer into the skid.,Ease off the accelerator and steer against the skid.,Brake sharply and steer against the skid.,Ease off the accelerator and steer into the skid.,4,3,"What you should do in this case:
Ease off the accelerator so that the rear wheels stop sliding.
Steer quickly into the skid (that is, if the rear end is sliding to the right, turn the wheel to the right).
Once the wheels regain grip, bring the steering back to the path you want to follow.
In this way grip is restored first and the car's course is then steadied.",194.jpg
195,"What should a driver do on seeing a pothole in the road that cannot be avoided, when the car's speed is high?",Stop braking just before entering the pothole.,Increase speed just before entering the pothole.,,,1,1,"On seeing a pothole you should reduce speed and try to drive round it. If that is not possible and the impact cannot be avoided, you should release the brake just before it and straighten the steering — this reduces the chance of damaging both the tyre and the suspension parts.",195.jpg
196,"Do you have to stop and give way to a pedestrian who has stepped onto an uncontrolled pedestrian crossing (into the first lane of the oncoming direction), when there is one lane in your direction of travel and two in the oncoming direction?",Yes.,No.,,,2,1,"Because the road has one lane in your direction of travel and two in the oncoming direction (three lanes in all), you must give way to the pedestrian only once they step into the lane of your direction of travel. If the pedestrian is still in the oncoming lanes (of which there are two), you do not have to stop and give way under this clause, because the requirement to give way to a pedestrian across the whole width of the crossing applies only where the road has one lane in each direction.
A driver must give way to a pedestrian who is in any lane of their direction of travel when there is one lane in each direction.",196.jpg
197,"You and a lorry coming the other way both want to turn left, but the lorry is blocking your view. What will you do?","Go, because I have priority.",Go only once I have made sure that it is safe.,"Go, because the traffic light is green for me.",,2,2,"A green traffic light allows you to proceed, but when turning left the driver must still give way to oncoming vehicles that are going straight ahead or turning right.
In this situation the lorry may be blocking the view, so the driver should not hurry. The safest thing is to wait, let the lorry pass, and only then, when it is clearly visible that nothing is coming the other way, complete the left turn.",197.jpg
198,In this situation priority belongs to:,"The driver of the white car, who is going straight ahead.","The driver of the blue car, who is moving into the adjacent lane.",,,1,1,"Road Traffic Rules, clause 104. When changing lanes, a driver must give way to vehicles travelling in the adjacent lane in the same direction. If vehicles travelling in the same direction change lanes at the same time, the driver must give way to the vehicle on the right, except in the cases set out in clause 112 of the Rules.
Road Traffic Rules, clause 112. Where there is an acceleration lane for joining a road, the driver must use it and merge into the traffic flow (move into the adjacent lane), giving way to vehicles travelling in that lane or moving into the deceleration lane.",198.jpg
199,Water that has got onto the brake pads reduces the effectiveness of the brakes. What will you do?,I will brake many times while standing still.,"I will pay no attention to it, because they will dry out in a few minutes.",I will brake gently several times while driving slowly.,,3,1,"After driving through deep water you should drive slowly for a while and press the brake pedal several times, drying the brake discs or drums and the pads or shoes. They dry out because of the rise in temperature as the pads rub against the brake discs, or the shoes against the brake drums.",199.jpg
200,"Must you take all necessary measures not to endanger the safety of other road users, if doing so would endanger your own life or health?","Yes, you must.",You do not have to.,The Road Traffic Rules do not cover this.,,2,1,Under the Road Traffic Rules a driver is not obliged to take measures that would endanger their own life or health.,200.jpg
201,The legal basis for road traffic safety in the Republic of Lithuania is laid down by:,The Civil Code of the Republic of Lithuania.,The Criminal Code of the Republic of Lithuania.,The Code of Administrative Offences of the Republic of Lithuania.,The Law on Road Traffic Safety of the Republic of Lithuania.,4,2,"Law on Road Traffic Safety, Article 1. Purpose and scope of the Law. 1. This Law lays down the legal basis for road traffic safety in the Republic of Lithuania, the duties of state and municipal institutions and bodies in implementing road safety policy, the training of road users, the main rights and duties of road users, of the persons responsible for road maintenance, of the police, of customs officers and of other inspecting officers, and also the main requirements relating to the technical condition of vehicles, the checking of that condition and the registration of vehicles, and the road safety requirements for roads, with the aim of protecting the life, health and property of road users and other people and of improving conditions for vehicle and pedestrian traffic.",201.jpg
202,"What is a ""level crossing""?",A place where the road crosses railway tracks at a height of 5 m.,A crossing of a road and a railway on the same level.,,,2,1,3.5. Level crossing — a crossing of a road and a railway on the same level.,202.jpg
203,What counts as scheduled public transport?,Taxis.,"Public transport vehicles (buses, trolleybuses, route taxis) that carry passengers regularly along a set route with specified stopping places.",Minibuses.,,2,1,"A minibus is a vehicle with no more than 8 passenger seats (not counting the driver's seat) and a maximum authorised mass not exceeding 3.5 t. It can be either a private or a commercial vehicle.
A route taxi (or route minibus) is a public transport vehicle that runs along a set route, with set stops and a ""Scheduled public transport"" sign.",203.jpg
204,Which vehicle will cross the junction last?,The bicycle.,The quadricycle.,The car.,,2,3,"The cyclist goes first, because they have no obstacle on their right. The car goes second, because once the bicycle has passed it no longer has an obstacle on its right. The driver of the quadricycle goes last, because once the car has passed there is no longer an obstacle on its right either.",204.jpg
205,"Before moving off from a stop, must the driver of a scheduled public transport vehicle make sure that way is being given to them?","Yes, they must.","No, they do not have to.",Scheduled public transport always has priority over other vehicles.,,1,1,"Road Traffic Rules, clause 180. Before moving off from a stop, the driver of a scheduled public transport vehicle must make sure that way is being given to them.",205.jpg
206,"To be able to start learning to drive a category B car on the road, you must be at least:",16 years old.,17 years old.,18 years old.,,2,1,"Category B may be driven from the age of 18, and learning may be started a year earlier, from the age of 17.",206.jpg
207,Which driver of a horse-drawn vehicle is travelling correctly on a road with shoulders?,A.,B.,Both are travelling incorrectly.,,1,1,"Road Traffic Rules, clause 68. Driving animal-drawn vehicles, herding animals or birds and horse riding are allowed only on the right-hand shoulder, or, where there is none, along the right-hand edge of the carriageway, as close as possible to the edge of the carriageway and without endangering other road users.
Road Traffic Rules, clause 69. Animal-drawn carts or sledges must carry white reflectors at the front, amber at the sides and red at the rear, fixed in clearly visible places and marking the outermost points of the cart or sledge.",207.jpg
208,What must the driver of a motor vehicle bring with them after receiving a police summons to attend the police at a stated time?,"An identity document in all cases; the roadworthiness test document, the compulsory motor third party liability insurance document and the driving licence if the summons says so.",The driving licence in all cases.,A valid medical certificate of the driver's health check.,A certificate of first aid training showing that the compulsory first aid course has been completed.,1,1,"8. On receiving a police summons, a road user must attend the police station at the stated time. They must bring with them an identity document and the other documents stated in the summons.",208.jpg
209,Are winter or all-season tyres needed in winter on a single-axle car trailer without a braking system?,Yes.,No.,,,1,1,"Between 10 November and 31 March it is prohibited to operate motor vehicles and trailers with summer tyres (the tread depth must be at least 3.0 mm). Summer tyres are therefore prohibited during the winter season, but there is no need to fit winter tyres specifically — all-season tyres may be used as well.",209.jpg
210,The roadworthiness test for cars must be carried out:,Every 12 months.,"3 years after the date of first registration, and every 12 months after that.","2 years after the date of first registration, and every 24 months after that.","3 years after the date of first registration, and every 24 months after that.",4,2,"""From first registration"" means from when the car was still new.",210.jpg
211,"What does the octane number of petrol, 95 or 98, describe?",The engine's resistance to knocking.,The petrol's resistance to low temperatures.,The petrol's resistance to knocking.,,3,2,"The octane number describes the ability of petrol to burn in an internal combustion engine without knocking. Knocking is the spontaneous and premature ignition of the mixture of petrol vapour and air, not by the spark plug but by compression and by hot parts of the cylinder. The resistance of that mixture to spontaneous knocking is expressed by the octane number.",211.jpg
212,Is it allowed to switch on the main beam headlights in the dark on an unlit road in a built-up area?,It is allowed.,It is prohibited.,,,1,1,"Switching on the main beam headlights in a built-up area on an unlit road is allowed if:
the road in the built-up area is unlit,
and you do not dazzle other drivers.",212.jpg
213,Is a person herding animals along the road considered to be a driver?,Yes.,No.,,,1,1,"Law on Road Traffic Safety, Article 2, clause 92. A driver is a person driving a vehicle. Persons taking part in traffic under the additional requirements laid down in this Law are treated as drivers as well (drivers of animal-drawn vehicles, riders, persons herding animals or birds along the road), as are persons giving driving instruction.",213.jpg
214,How long does it take for 1.5 per mille of alcohol to leave the human body?,The alcohol is broken down after only 1 hour.,The alcohol is broken down after only 6 hours.,The alcohol is broken down after only 12 hours.,,3,1,"The question asks how long it takes for 1.5 per mille of alcohol to leave the body, not the blood.
The amount of alcohol falls very slowly, at a rate that is known in advance, because a person's liver breaks down a certain amount of it every hour. In removing alcohol from the body the liver does 90% of the work, and the lungs and kidneys 10%. A healthy person's liver breaks down between 0.15 and 0.20 ‰ per hour. Removing 1 ‰ will therefore take about 6 hours on average.
If you drank 200 g of vodka during the evening, you must not get behind the wheel for at least another 10–12 hours.
Alcohol can be detected in urine for three to five days, in blood for 10 to 12 hours, in hair for up to 90 days, and in exhaled air for up to 24 hours.
If there was heavy drinking in the evening and a person wants to drive in the morning, they should note when the last drink was finished. For most people 12 hours must pass after the last drink for the alcohol really to be broken down, and in some cases even more time may be needed.",214.jpg
215,At what speed is it allowed to drive an animal-drawn vehicle on the road?,No faster than 5 km/h.,No faster than 20 km/h.,"At a safe speed, without endangering other road users.",At the maximum speed permitted on that stretch of road.,3,2,"The Road Traffic Rules do not set an exact speed for driving animals, because this is not a vehicle.
Movement is allowed only on the right-hand shoulder or along the edge of the carriageway, at a safe speed, so as not to endanger other road users.
""The maximum permitted speed"" is therefore not right here — that idea applies to vehicles, not to animal-drawn traffic.",215.jpg
216,Which children must be carried in special seats suited to their height and weight?,"Only children under 3 years old, regardless of height.","Only children under 12 years old, regardless of height.",Children under 150 cm tall.,Children under 135 cm tall.,4,1,"Road Traffic Rules, clause 199. Children under 135 cm tall who are carried in a car or a lorry must be restrained by child restraint systems suited to their height and weight, according to the size range and maximum child weight stated by the manufacturer, or according to these groups:
199.1. group 0 is for children weighing less than 10 kg;

199.2. group 0+ is for children weighing less than 13 kg;

199.3. group I is for children weighing between 9 and 18 kg;

199.4. group II is for children weighing between 15 and 25 kg;

199.5. group III is for children weighing between 22 and 36 kg.",216.jpg
217,How many motor vehicles may be towed at the same time?,One.,Two.,Three.,,1,1,"Road Traffic Rules, clause 217. Towing or carrying vehicles is prohibited:
217.6. towing more than one motor vehicle, tractor or self-propelled machine;",217.jpg
218,Is the place where a road is joined from an adjacent car park a junction?,Yes.,No.,,,2,2,"Places where a road is left for premises beside it, or where a road is joined from premises beside it, are not treated as junctions. The yellow car is parked incorrectly, but that has no bearing on the answer to the question.",218.jpg
219,Is a junction shown in this picture?,Yes.,No.,,,1,2,"Places where a road is left for premises beside it, or where a road is joined from premises beside it, are not treated as junctions. In this case a surfaced road crosses a field road, so this crossing is treated as a junction.",219.jpg
220,"What is ""the hours of darkness""?",When the road is visible for less than 300 metres.,The time from the end of dusk until the beginning of morning twilight.,The time from sunset until sunrise.,When the road is visible for less than 200 metres.,3,1,"Law on Road Traffic Safety, Article 2, clause 69. The hours of darkness — the time from sunset until sunrise.",220.jpg
221,What is the minimum age for starting to learn to drive tricycles with a power output of more than 15 kW?,20 years.,21 years.,23 years.,24 years.,1,1,Learning may be started one year earlier (from the age of 20) than the age at which a driving licence of this category may be obtained (from the age of 21).,221.jpg
