id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
106,Padanga pažymėta 195/55 R15. Ką nurodo skaičius 15?,Padangos plotį.,Padangos aukščio ir pločio santykį.,Ratlankio skersmenį.,Padangos leistinso apkroos indeksą.,3,2,"„R“ – reiškia, kad padanga yra radialinė; (praktikoje kartais naudojamos ir diagonalinės padangos. Radialinės padangos nuo diagonalinių skiriasi savo konstrukcija. Geresnės yra radialinės padangos. Šiuolaikiniuose automobiliuose naudojamos radialinės padangos. Diagonalinės padangos naudojamos lėtaeigėms transporto priemonėms (žemės ūkio mašinoms, specialiajam transportui). „195“ yra padangos plotis, „65“ yra padangos aukštis. 

„15“ – reiškia, kad padangos skersmuo yra 15 colių; (lengvųjų automobilių ratų skersmuo gali būti nuo 12 iki 17 colių, sunkesnių transporto priemonių ratų skersmuo siekia 25 ir daugiau colių). 

„M+S“ – reiškia, kad padangą galima eksploatuoti ir žiemą; 

„TUBELESS“ – reiškia, kad padanga yra bekamerinė (dėl savo konstrukcijos padanga glaudžiai priglunda prie ratlankio ir savo viduje išlaiko orą. Padangose su kamera viduje padangos papildomai įmontuojama kamera, kuri pripildoma oro ir padaro reikiamos formos padangą).",106.jpg
107,"Kodėl smarkiai lyjant asfaltuotame kelyje pavojinga greitai važiuoti?
",Suges stiklo valytuvai.,Pateks vandens ant variklio ir jis užges.,Gali susidaryti akvaplaningas (vandens pleištas) ir automobilis taps nevaldomas.,,3,2,"Smarkiai lyjant pavojinga važiuoti dideliu greičiu asfaltuotame kelyje, nes po automobilio ratais susidaro vandens pleištas (akvaplaningas), ir automobilis tampa sunkiai valdomas. Vandens pleištas – tai mažas vandens tarpelis tarp važiuojamosios dalies ir padangos. Jis susidaro dėl didelio greičio ir blogo padangų protektoriaus.",107.jpg
108,"Kaip privalo pasielgti vairuotojas, kurio pusėje yra kliūtis, jeigu su priešais atvažiuojančia transporto priemone yra sunku prasilenkti?",Privalo duoti kelią priešais atvažiuojančiai transporto priemonei.,"Padidinti greitį ir apvažiuoti kliūtį, nes turi pirmenybę.",,,1,1,"Jeigu su priešais važiuojančia transporto priemone prasilenkti sunku, kelią privalo duoti vairuotojas, kurio pusėje yra kliūtis.",108.jpg
109,Ar leidžiama pėstiesiems eiti važiuojamosios dalies pakraščiu?,"Leidžiama dviem eilėmis, einant prieš transporto priemonių judėjimo kryptį.","Leidžiama, jei nėra šaligatvio, pėsčiųjų tako, kelkraščio arba jais eiti negalima, viena eile prieš transporto priemonių važiavimo kryptį.",Draudžiama.,"Leidžiama, jei nėra šaligatvio, pėsčiųjų tako, kelkraščio arba jais eiti negalima, viena eile ta pačia kryptimi kaip ir transporto priemonių važiavimo kryptis.",2,2,"Pėstieji privalo judėti šaligatviais, pėsčiųjų takais arba pėsčiųjų ir dviračių takais (pėstiesiems skirta puse), o ten, kur jų nėra, – kelkraščiu. Jeigu šaligatvio, pėsčiųjų tako, pėsčiųjų ir dviračių tako, kelkraščio nėra arba jais judėti nėra galimybės, leidžiama judėti viena eile važiuojamosios dalies pakraščiu. Kelkraščiu arba važiuojamosios dalies pakraščiu judantys arba kelkraščiu riedučiais, riedlentėmis ar paspirtukais be variklio važiuojantys pėstieji turi judėti prieš transporto priemonių važiavimo kryptį.",109.jpg
110,"Kaip reikia pažymėti krovinį, jei jis išsikiša 0.2 m už transporto priemonės šonų?",Kvadratais su pakaitomis einančiomis šviesą atspindinčiomis įstrižomis baltomis ir raudonomis juostomis.,Ryškiaspalvėmis vėliavėlėmis.,Žymėti nereikia.,Kvadratais su pakaitomis einančiomis šviesą atspindinčiomis įstrižomis baltomis ir oranžinėmis juostomis.,1,2,"Jeigu krovinys priekyje arba gale išsikiša už transporto priemonės gabaritų daugiau kaip 1 m arba jo šoninis kraštas bent kiek išsikiša už transporto priemonės šoninio gabarito, jis turi būti pažymėtas, kaip nurodyta Taisyklių 4 priede.

Priekyje arba gale už transporto priemonės gabaritų daugiau kaip 1 m išsikišantys arba bent kiek į šoną išsikišantys tolimiausi krovinio arba platesnių kaip 2,6 m transporto priemonių kraštiniai taškai turi būti pažymėti skiriamaisiais ženklais – 400 mm ilgio kraštinės kvadratais su pakaitomis einančiomis šviesą atspindinčiomis įstrižomis baltomis ir raudonomis 50 mm pločio juostomis. Šie ženklai ant transporto priemonės turi būti pritvirtinti ne žemiau kaip 0,4 m ir ne aukščiau kaip 1,6 m nuo žemės paviršiaus. Tamsiuoju paros metu arba esant blogam matomumui nurodytose transporto priemonės vietose turi degti žibintai – balti iš priekio, oranžiniai – iš šonų ir raudoni – iš galo.",110.jpg
111,Kaip geriausiai stabdyti transporto priemonę slidžiame kelyje?,"Stabdyti pulsuojančiai, dažnais paspaudimais pagrindiniu stabdžiu neblokuojant ratų ir neišjungus sankabos ir pavaros.",Išjungti pavarą ir stabdyti stovėjimo (rankiniu) stabdžiu.,,,1,2,"Automobilis yra stabilesnis, kai važiuojama įjungus pavarą, nes tai leidžia efektyviau kontroliuoti variklio sukimo momentą. Kai variklis veikia, jis perduoda sukimo jėgą pavarų dėžėje, kuri pakeičia greitį ir sukimo momentą. Įjungus pavarą, variklis veikia prie pastovaus sukimo momento, o tai leidžia efektyviau kontroliuoti automobilio stabilumą ir sukimo jėgą. Be to, efektyviai naudojant pavaras, galima sumažinti slydimo pavojų, ypač esant sunkioms oro sąlygoms arba kai reikia greitai sustoti. Todėl rekomenduojama važiuoti su įjungta pavarų dėže ir tinkamai naudoti pavarų perjungimo mechanizmą, kad būtų užtikrintas saugus ir patikimas vairavimas.

Neišjungus sankabos ir pavaros automobilis yra stabilesnis, nes varomieji ratai gauna pasipriešinimą iš variklio ir taip prisideda prie automobilio stabdymo bei stabilumo.

Stabdant nutrūkstamais stabdžio pedalo paspaudimais automobilis nepraranda sukibimo su kelio danga ir išlieka stabilesnis, nei visiškai blokuojant ratus, kai automobilio ratai ima čiuožti ir automobilis tampa nevaldomas.",111.jpg
112,"Kuria važiuojamosios dalies puse gali važiuoti asmenys su riedučiais, riedlentėmis ar paspirtukais be variklio?",Važiuojamosios dalies pakraščiu transporto priemonių judėjimo kryptimi.,Važiuojamosios dalies pakraščiu prieš transporto judėjimo kryptį.,"Važiuoti draudžiama, išskyrus gyvenamosiose zonose.",,3,1,"Pėstiesiems draudžiama važiuoti riedučiais, riedlentėmis ar paspirtukais be variklio važiuojamąja dalimi, išskyrus gyvenamąją zoną.
",112.jpg
113,Eismą paveiksliuke reguliuoja šviesoforai. Pėsčiasis privalo:,Eiti toliau per kelią.,Stovėti saugumo salelėje iki kol sulauks leidžiamo šviesoforo signalo eiti toliau.,Apsisukti ir grįžti atgal.,,2,1,"Važiuojamojoje dalyje pėstieji neturi delsti ar stoviniuoti. Nespėjusieji pereiti važiuojamosios dalies turi stovėti saugumo salelėje arba ant paženklintos ar įsivaizduojamos linijos, skiriančios priešingų krypčių transporto srautus. Baigti eiti per važiuojamąją dalį galima tik įsitikinus, kad eiti saugu.",113.jpg
114,"Kada dviratininkas, važiuojantis per dviračių tako ir kelio susikirtimą, privalo duoti kelią kitoms transporto priemonėms?",Visais atvejais.,"Kelio duoti neprivalo, nes turi pirmenybę.",Ne sankryžoje esančiame nereguliuojamame dviračių tako ir kelio susikirtime.,Transporto priemonei artėjant iš dešinės.,3,2,"Dviračio vairuotojas, ketindamas kirsti važiuojamąją dalį ten, kur eismas nereguliuojamas arba nėra eismo pirmumą nustatančių kelio ženklų, privalo praleisti važiuojamąja dalimi važiuojančias transporto priemones, išskyrus tuos atvejus, kai kerta išvažiavimus iš šalia kelio esančių teritorijų, gyvenamosios zonos, kiemo, stovėjimo aikštelės, kai kerta važiuojamąją dalį, į kurią kiti vairuotojai suka.",114.jpg
115,Kokiu atstumu gyvenvietėje statomi pavaizduoti kelio ženklai iki jų galiojimo pradžios?,50 - 100 m.,100 - 150 m.,150 - 200 m.,150 - 300 m.,1,1,"Įspėjamaisiais kelio ženklais Nr. 101–137, 150, 151 žymimas pavojingas kelio ruožas prasideda už 50–100 m gyvenvietėje ir 150–300 m ne gyvenvietėje nuo įspėjamojo kelio ženklo įrengimo vietos. Jeigu nurodyti įspėjamieji kelio ženklai įrengiami kartu su papildoma lentele „Atstumas iki objekto“, pavojingas kelio ruožas prasideda už atstumo, nurodyto papildomoje lentelėje „Atstumas iki objekto“. Jeigu nurodyti įspėjamieji kelio ženklai įrengiami kartu su papildoma lentele „Galiojimo zona į priekį“, ši lentelė nurodo, kokio ilgio yra pavojingas kelio ruožas, kuris prasideda už 50–100 m gyvenvietėse ir 150–300 m ne gyvenvietėse nuo įspėjamojo kelio ženklo įrengimo vietos.",115.jpg
116,"Kokiu atstumu nuo autobusų stotelės draudžiama palikti stovėti motorinę transporto priemonę, jei ji trukdo maršrutiniam transportui?",10 m.,15 m.,20 m.,23 m.,1,1,"Sustoti ir stovėti draudžiama maršrutinio transporto sustojimo aikštelėse ir arčiau kaip 15 m atstumu nuo jų (kai aikštelės nėra, – arčiau kaip 15 m atstumu nuo kelio ženklo „Stotelė“), jeigu tai kliudytų maršrutinio transporto eismui; draudžiama stovėti kelio ženklo „Taksi stotelė“ galiojimo zonoje.",116.jpg
117,Ar leidžiama kirsti ištisinę kelio ženklinimo liniją šioje situacijoje?,Taip.,Ne.,,,1,1,"Jeigu kelio ženklo ir kelių ženklinimo reikalavimai skiriasi, reikia vadovautis kelio ženklu. Šiuo atveju, vadovaujantis kelio ženklu, reikia apvažiuoti kliūtį iš kairės, net jei tam prieštarauja siaura ištisinė balta linija.

Siaura ištisinė linija skiria priešingų krypčių transporto srautus ir draudžia paženklintame kelio ruože važiuoti priešpriešinio eismo juosta; žymi eismo juostų kraštus, važiuojamosios dalies ruožus, į kuriuos draudžiama įvažiuoti, transporto priemonių stovėjimo vietų ribas ir važiuojamosios dalies kraštą; esant kelio ženklui Nr. 413 „Pėsčiųjų ir dviračių takas“ skiria dviračių eismui skirtą tako dalį nuo pėsčiųjų eismui skirtos tako dalies. Šią liniją kirsti draudžiama, išskyrus tuos atvejus, kai ji žymi važiuojamosios dalies kraštą arba stovėjimo vietą.",117.jpg
118,Ar gyvenvietėje būtina vairuotojui prisisegti saugos diržą važiuojant atbulomis?,Taip.,Ne.,,,2,1,Gyvenvietėse vairuotojui leidžiama neužsisegti saugos diržo važiuojant atbulomis arba stovėjimo aikštelėse.,118.jpg
119,Kada sukant sumažėja išcentrinė jėga?,Padidinus važiavimo greitį.,Sumažinus važiavimo greitį.,Sumažinus posūkio spindulį.,,2,2,"Automobilį veikianti išcentrinė jėga yra didesnė esant staigiam posūkiui. Darant staigų posūkį išcentrinė jėga sumažės, jei tai atliksime lėtai.",119.jpg
120,"Jei greitis padidėja nuo 15 km/h iki 45 km/h, stabdymo kelias padidėja:",Tris kartus.,Šešis kartus.,Devynis kartus.,Dvyliką kartų.,3,2,"Kuo didesnis greitis, tuo ilgesnis stabdymo kelias (priklausomybė kvadratu): t.y. jei greitį padidinsite du kartus, stabdymo kelias padidės keturis kartus.",120.jpg
121,Kurio automobilio vairuotojas pažeidžia KET parodytoje situacijoje (geltonas ir juodas automobiliai važiuoja dvipusio eismo kelyje)?,Juodo automobilio vairuotojas.,Geltono automobilio vairuotojas.,Mėlyno automobilio vairuotojas.,,2,3,Sankryžose lenkti draudžiama.,121.jpg
122,"Krovininiu automobiliu, kurio leidžiama maksimali masė 3 t., leidžiama važiuoti:",Tik į kairę.,Visomis kryptimis.,Į kairę ir apsisukti,,3,1,"Krovininiai automobiliai iki 3,5 tonos priskiriami lengviesiems automobiliams (B kategorijai).",122.jpg
123,"Kokių veiksmų reikėtų imtis, jei dešinieji automobilio ratai, važiuojant asfaltu, nukrypsta į kelkraštį su žvyro danga?",Be stabdymo lėtai sukant vairo ratą kairėn automobilį nukreipti į važiuojamąją dalį.,Staigiai stabdant automobilį vairo pagalba nukreipti į važiuojamąją dalį.,Sustoti ir vėl pradėti važiuoti.,,1,2,"Minėtu atveju saugiai galima nukreipti automobilį į važiuojamąją dalį be stabdymo lėtai sukant vairo ratą kairėn. Jeigu būtų bandoma nukreipti automobilį į važiuojamąją dalį be stabdymo staigiai sukant vairo ratą kairėn, padidėjusi išcentrinė jėga gali sukelti automobilio slydimą arba virtimą. Staigiai stabdant minėtoje situacijoje automobilis gali nukrypti nuo važiavimo trajektorijos, kadangi stabdymo metu automobilio dešinės pusės ratų sukibimo su kelkraščiu jėga būtų žymiai mažesnė negu kairės pusės ratų sukibimo su asfaltu jėga.",123.jpg
124,Ar leidžiama sustoti kelkraštyje šioje vietoje?,Leidžiama.,Draudžiama.,,,1,2,Draudžiantis sustoti ir stovėti ženklas galioja tik iki gyvenvietės pabaigos. Todėl šioje situacijoje automobiliui taip stovėti leidžiama.,124.jpg
125,Kurio automobilio vairuotojas turi pirmumo teisę važiuoti? Mėlyno automobilio vairuotojas sankryžoje apsisuka.,Geltono automobilio vairuotojas.,Mėlyno automobilio vairuotojas.,,,1,3,"Mėlyno ir geltono automobilių vairuotojams šiuo atveju yra vienodos sąlygos važiuoti, kadangi važiuoja lygiareikšmių kelių sankryžoje. Mėlynas automobilis sankryžoje apsisuka, tad automobilio vairuotojui prieš baigiant apsisukti, atsiranda kliūtis iš dešinės - geltonas automobilis, todėl mėlynas automobilis turi duoti kelią geltonam automobiliui.",125.jpg
126,"Kam leidžiama sustoti už šių kelio ženklų nurodytoje situacijoje (juosta pažymėta ""A"" ženklu)?",Dviračiams ir mopedams.,Motociklams be priekabos.,Maršrutiniam transportui.,,3,1,"Maršrutiniui transportui leidžiama sustoti, bet ne stovėti. Kitoms transporto priemonėms už ženklų sustoti neleidžiama, nes joms draudžiama įvažiuoti į maršrutinio transporto eismo juostą, pažymėtą A raide, nebent jos ruoštųsi sukti į dešinę.",126.jpg
127,Kuriomis kryptimis leidžiama važiuoti lengvajam automobiliui parodytoje situacijoje?,Tiesiai.,Į kairę.,Toliau važiuoti draudžiama.,,1,2,"Ženklas su papildoma lentele rodo, kad į kairę esančioje gatvėje motorinių transporto priemonių eismas draudžiamas. Todėl su lengvuoju automobiliu galima važiuoti tiesiai.",127.jpg
128,Ar leidžiama velkamame lengvajame automobilyje vežti žmones?,Ne.,Taip.,,,1,1,"Velkamame lengvajame automobilyje vežti žmones draudžiama. Vilkti galima tik transporto priemonę be keleivių (išskyrus vairuotoją, jei to reikia transporto priemonei valdyti).",128.jpg
129,Kelio ženklas nurodo:,Draudžiama važiuoti lengvaisiais automobiliais.,Greitkelio pabaigą.,,,2,1,"KET 1 pr. 556 Kelio ženklas „Automobilių kelio pabaiga"". Kelio, kuriame galioja greitkeliuose nustatyta eismo tvarka, pabaiga.",129.jpg
130,Ar leidžiama dienos metu važiuoti apšviestu tuneliu su įjungtomis tik specialiai dienos metui skirtomis šviesomis?,Leidžiama.,Draudžiama.,,,2,1,"Važiavimas tuneliu, nors jis ir apšviestas, prilyginamas važiavimui bloguoju matomumu. Todėl tunelyje reikia įsijungti artimuosius žibintus, specialiai dienos metui skirtų žibintų neužtenka. Dienos metui skirti žibintai (pvz. šiuolaikiniuose automobiliuose esantys LED) ir artimieji žibintai nėra tas pats.",130.jpg
131,"Ar kelio horizontalusis ženklinimas, leidžiantis iš kairės kraštinės juostos sukti į kairę pusę, leidžia ir apsisukti?","Taip, leidžia.","Ne, neleidžia.","Taip, leidžia tik darbo dienomis.",Kelių eismo taisyklėse tai nėra apibrėžta.,1,1,"Horizontalusis ženklinimas:
1.16. Rodyklės nurodo leistinas važiavimo kryptis juostoje. Aklakelio ženklas įspėja, kad draudžiama sukti į artimiausią važiuojamąją dalį. Ženklinimas, leidžiantis iš kairės kraštinės juostos sukti į kairę, leidžia ir apsisukti.",131.jpg
132,Ką reiškia šis kelio ženklas?,Riboto greičio zona.,Mažos taršos zona.,Stovėjimo zona.,,2,1,"Kelio ženklas 561 - ""Mažos taršos zona"". Savivaldybės tarybos nustatyta miesto teritorija, kurios visuose keliuose už kelio ženklo ribojamas arba visiškai draudžiamas motorinių transporto priemonių, traktorių ir savaeigių mašinų, išskyrus netaršias transporto priemones, eismas.",132.jpg
133,Ką draudžia nurodytas kelio ženklas?,Važiuoti mažesniu greičiu negu nurodyta.,Važiuoti didesniu greičiu negu nurodyta.,"Važiuoti didesniu greičiu negu nurodyta, išskyrus maršrutinį transportą.",,1,1,"KET 1 pr. 329. Kelio ženklas „Ribotas greitis“. Draudžiama važiuoti greičiau (km/h), negu nurodyta ženkle. ",133.jpg
134,Šis kelio ženklas nurodo:,"Važiavimo kryptį keliuose, kur vykdomi kelio darbai.",Juostų skaičių ir važiavimo kryptis kiekviena juosta.,,,1,1,Šiame ženkle nupieštų rodyklių skaičius nepriklauso nuo eismo juostų skaičiaus.,134.jpg
135,Kokia eilės tvarka automobiliai važiuos per sankryžą?,"Raudonas, žalias, mėlynas.","Žalias, mėlynas, raudonas.","Žalias, raudonas, mėlynas.","Mėlynas, raudonas, žalias.",3,3,"Lygiareikšmių kelių sankryžoje pirmas važiuos žalias automobilis, nes jis neturi kliūties iš dešinės . Jam pravažiavus raudonas automobilis nebeturi kliūties iš dešinės, todėl važiuoja antras. Paskutinis per sankryžą važiuoja mėlynas automobilis,  nes jis turėjo kliūtį dešinėje - raudoną automobilį.",135.jpg
136,"Kuris automobilis teisingai sustojo dvipusio eismo kelyje, laukdamas žalio šviesoforo signalo?",Žalias automobilis.,Raudonas automobilis.,Abu automobiliai sustojo neteisingai.,,3,2,"Žalias automobilis nesustojo prieš „Stop“ liniją, baltas automobilis suka ne iš tos eismo juostos (važiuoja prieš eismą).",136.jpg
137,Ar leidžiama važiuoti tiesiai (po ženklu yra lentelė „250 m“)?,Taip.,Ne.,,,1,2,"Šie kelio ženklai nurodo, kad už 250 m įvažiuoti draudžiama, tačiau dar 250 m leidžiama važiuoti.",137.jpg
138,Kurioje vietoje privalote sustoti?,Prieš ženklą (C vietoje).,Prie sankryžos ribos (B vietoje).,Prieš kertamos važiuojamosios dalies kraštą (A vietoje).,,1,1,"KET 1pr.204. Kelio ženklas „Stop“. Draudžiama važiuoti nesustojus prieš „Stop“ liniją, o jeigu jos nėra, – prieš kelio ženklą.",138.jpg
139,Kas yra žymima šiuo skiriamuoju ženklu?,"Mokyklinis automobilis, kuriuo vežami vaikai.","Motorinė transporto priemonė ir jos junginiai, kuria yra mokoma vairuoti.",Automobilis su dygliuotomis padangomis.,Kurčiųjų vairuojamas automobilis.,2,1,"Skiriamasis ženklas: 10. Motorinių transporto priemonių ir jų junginių su priekabomis, kuriomis mokoma vairuoti, priekis ir galas turi būti pažymėti baltu lygiakraščio trikampio formos skiriamuoju ženklu su raudonu apvadu ir juoda raide „M“ viduryje. Trikampio kraštinės ilgis – 200–300 mm, apvado plotis – 1/10 kraštinės ilgio.",139.jpg
140,"Kokia eilės tvarka automobiliai važiuos per sankryžą, policijos automobilyje įjungti švyturėliai ir garso signalas?","Policijos automobilis, motociklas, geltonas automobilis.","Policijos automobilis, geltonas automobilis, motociklas.","Geltonas automobilis, policijos automobilis, motociklas.","Motociklas, geltonas automobilis, policijos automobilis.",2,3,"KET 154. Nelygiareikšmių kelių sankryžoje šalutiniu keliu važiuojantis vairuotojas privalo duoti kelią transporto priemonėms, artėjančioms prie sankryžos pagrindiniu keliu.
KET 12. Eismo dalyviai privalo nedelsdami duoti kelią artėjančioms specialiosioms transporto priemonėms su įjungtais mėlynais ir raudonais (arba tik mėlynais) švyturėliais ir specialiaisiais garso signalais ir jų lydimoms transporto priemonėms. Artėjančioms specialiosioms transporto priemonėms su įjungtais mėlynais ir raudonais (arba tik mėlynais) švyturėliais ir specialiaisiais garso signalais ir jų lydimoms transporto priemonėms kelias duodamas ir avarinis koridorius sudaromas tokia tvarka:
12.1. kelyje, kuriame viena kryptimi yra viena eismo juosta, transporto priemonių vairuotojai privalo sustoti dešiniajame kelkraštyje, kai jo nėra, – prie dešiniojo važiuojamosios dalies krašto;
12.2. kelyje, kuriame viena kryptimi yra dvi ar daugiau eismo juostų, kraštinėje kairėje eismo juostoje ta pačia kryptimi judančių transporto priemonių vairuotojai privalo pasitraukti kuo kairiau prie pat važiuojamosios dalies, skirtos važiuoti ta kryptimi, atitinkamo krašto ir sustoti, o kitose eismo juostose, kurios yra dešiniau nuo kraštinės kairės eismo juostos, ta pačia kryptimi judančių transporto priemonių vairuotojai privalo pasitraukti kuo dešiniau, dešiniojo važiuojamosios dalies krašto arba kelkraščio link ir sustoti;
12.3. kelyje su skiriamąja kelio juosta (toliau – skiriamoji juosta) Taisyklių 12.1 ir 12.2 papunkčiuose nurodytus reikalavimus privalo vykdyti tik ta pačia kryptimi judančių transporto priemonių vairuotojai.",140.jpg
141,Ar turite važiavimo pirmumą?,Taip.,Ne.,,,1,1,"KET 1 pr. 206. „Pirmenybė priešpriešinio eismo atžvilgiu"". Siauras kelio ruožas, kuriuo važiuodamas vairuotojas turi pirmenybę prieš artėjantį priešpriešinį transportą.",141.jpg
142,Šioje situacijoje 10 valandą ryto jūs raudonu automobiliu galite:,Sukti į dešinę.,Apsisukti.,Važiuoti tiesiai.,Važiuoti tiesiai ir į kairę.,3,2,"Sukti į kairę ar apsisukti vairuotojui neleidžiama, nes  10 val. galioja ženklas, neleidžiantis sukti. Sukti į dešinę taip pat neleidžiama, nes yra antroje važiuojamosios dalies juostoje. Norint sukti į dešinę, būtina persirikiuoti į pirmąją juostą. Belieka važiuoti tiesiai.",142.jpg
143,Ženklas nurodo:,Pėsčiųjų perėją.,"Draudžia eiti pėstiesiems ta kelio puse, kurioje pastatytas ženklas.",Galimas tik pėsčiųjų eismas.,,2,1,"KET - 1 pr. 310 „Pėsčiųjų eismas draudžiamas“. Draudžiama eiti pėstiesiems ta kelio puse, kurioje pastatytas ženklas.",143.jpg
144,Kuris automobilis važiuos per sankryžą trečias?,Žalias automobilis.,Mėlynas automoblis.,Vyšninis automobilis.,Raudonas automobilis.,2,3,"Pirmas važiuos vyšninis automobilis, nes jis yra pagrindiniame kelyje. Antras važiuos žalias automobilis, sustos sankryžos viduryje ir važiuos tik praleidęs vyšninį automobilį. Tuomet trečias važiuos mėlynas (praleidęs vyšninį) ir galiausiai raudonas, nes sukdamas į kairę, šis turi priešinga kryptimi tiesiai arba į dešinę važiuojančias transporto priemones (mėlyną automobilį).",144.jpg
145,Ar dviračio vairuotojui leidžiama važiuoti per sankryžą tiesiai?,Draudžiama.,"Leidžiama, praleidus lengvąjį automobilį.",,,2,2,"Dviračio vairuotojas privalo duoti kelią, nes jam šviečia raudonas šviesoforo signalas. Žalia rodyklė papildomoje šviesoforo sekcijoje leidžia važiuoti tik tuomet, kai nėra kliūčių. Kai nėra kelkraščio, dviračio vairuotojui leidžiama važiuoti važiuojamosios dalies kraštine dešine eismo juosta, kuo arčiau jos dešiniojo krašto.",145.jpg
146,"Kuris kelio ženklas nusako reikšmę ,,Transporto priemonių keltas, uostas arba prieplauka"":",1,2,3,,1,1,"Kelio ženklas 732. „Transporto priemonių keltas, uostas arba prieplauka”. Plaukiantis tiltas ar laivas, skirtas kelti transporto priemones per jūrą, ežerą, upę ar kitą vandens telkinį kelti. Šiuo ženklu gali būti pažymėtas uostas arba prieplauka.",146.jpg
147,"Kokiu atveju leidžiama pravažiuoti šį kelio ženklą, jei jūsų automobilis aukštesnis, nei nurodyta ženkle?",Jei važiuojate saugiu greičiu.,Leidžiama tik gavus specialų leidimą.,Jokiais atvejais negalima.,,3,1,"Gavus specialų leidimą transporto priemonė nesumažėja, taip pat nepaaukštėja kliūtis. Saugus greitis taip pat neleis pravažiuoti kliūties. Todėl, jei Jūsų automobilis aukštesnis už nurodytą aukštį ženkle, važiuoti neleidžiama.",147.jpg
148,Kokia šios sankryžos pravažiavimo tvarka?,"1, 2, 3.","3, 2, 1.","2, 1, 3.","1, 3, 2.",1,3,"Pirmasis per sankryžą važiuoja automobilis Nr. 1, nes jis važiuoja pagrindiniu keliu, jo važiavimo trajektorija pagrindiniame kelyje. Antrasis važiuoja automobilis Nr. 2, nes jis taip pat išvažiuoja iš pagrindinio kelio. Transporto priemonė Nr. 3 privalo praleisti abu automobilius, nes jai galioja kelio ženklas ""Duoti kelią"", ji yra šalutiniame kelyje, vairuotojas privalo duoti kelią transporto priemonėms, važiuojančioms kertamuoju ar prisijungiančiuoju keliu, o esant papildomai lentelei Nr. 843 „Pagrindinio kelio kryptis“, – važiuojančioms pagrindiniu keliu.",148.jpg
149,Už nurodyto kelio ženklo:,Leidžiama važiuoti ne didesniu nei 70 km/h greičiu.,Leidžiama važiuoti ne mažesniu nei 70 km/h greičiu.,Baigėsi minimalaus greičio apribojimas.,,3,1,KET 1pr. 415. Kelio ženklas „Minimalaus greičio apribojimo pabaiga”.,149.jpg
150,Kuris kelio ženklas draudžia transporto priemonei stovėti tik darbo dienomis?,Nr. 1 ir Nr. 5,Nr. 2,Nr. 3,Nr. 4,4,1,"1. Kelio ženklas 333 - Stovėti draudžiama.
2. Kelio ženklas 334 - Stovėti draudžiama nelyginėmis dienomis.
3. Kelio ženklas 335 - Stovėti draudžiama lyginėmis dienomis.
4. Kelio ženklas 333 - Stovėti draudžiama ir Kelio ženklas 823 - Darbo dienos.
5. Kelio ženklas 333 - Stovėti draudžiama ir Kelio ženklas 822 - Ne darbo dienos.",150.jpg
151,Draudžiama lenkti:,Tik lengviems automobiliams.,"Visoms transporto priemonėms visas transporto priemones, išskyrus pavienes, važiuojančias mažesniu kaip 30 km/h greičiu.","Tik lengvuosius ir krovininius automobilius, kurių leidžiama maksimali masė mažesnė kaip 3,5 tonos.",,2,1,"KET 1 pr. 325 „Lenkti draudžiama”. Draudžiama lenkti važiuojančias transporto priemones, išskyrus pavienes (pavienius transporto priemonių junginius), važiuojančias mažesniu kaip 30 km/h greičiu.",151.jpg
152,"Ar galima pasukti į kelią dešinėje pusėje, pamačius tokį kelio ženklą?",Taip.,Ne.,,,1,1,"Šis ženklas parodo važiavimo pagrindiniu keliu kryptį riboto matomumo vietoje, tačiau nedraudžia sukti į priešingą pusę, jei ten yra kelias.",152.jpg
153,Kokioms transporto priemonėms leidžiama stovėti šiuo kelio ženklu pažymėtoje stovėjimo vietoje?,"Transporto priemonėms pažymėtoms skiriamuoju ženklu „Asmuo su negalia"".",Tik transporto priemonėms su specialiais leidimais.,Aptarnaujančiam transportui.,Maršrutiniam transportui.,2,1,"KET 1 pr. 531. „Rezervuota stovėjimo vieta”. Stovėjimo vieta, kurioje transporto priemonėms leidžiama stovėti tik su specialiais leidimais. Ne elektroniniai leidimai tvirtinami už priekinio stiklo",153.jpg
154,"Ar leidžiama šioje situacijoje sukti į kairę, jeigu vairuojate lengvąjį automobilį su priekaba?",Taip.,Ne.,,,2,1,"KET 1 pr. 307 Važiuoti su priekabomis draudžiama (Draudžiama važiuoti automobiliais, traktoriais ir savaeigėmis mašinomis su priekabomis)",154.jpg
155,Lengvojo automobilio vairuotojas važiuoja atbulas. Kas šioje situacijoje turi pirmenybę?,Pėsčiasis.,Lengvojo automobilio vairuotojas.,,,1,1,"Šioje situacijoje nesvarbu, kad žmogus eina ne per perėją ir taip pažeidžia taisykles. Važiuodamas atbulas, automobilio vairuotojas turi duoti kelią visiems kitiems eismo dalyviams, net ir pažeidžiantiems taisykles.",155.jpg
156,Ką nurodo šie kelio ženklai?,"Šalutiniu keliu artėjate prie sankryžos, už kurios baigsis vienpusis eismas.","Šalutiniu keliu artėjate prie sankryžos, už kurios prasidės vienpusis eismas.",,,1,1,"KET punktas:
KET 1 pr. 203. „Duoti kelią"". Vairuotojas privalo duoti kelią transporto priemonėms, važiuojančioms kertamu keliu.
KET 1 pr. 504. „Vienpusio eismo pabaiga"".",156.jpg
